id,text,HS,TR,AG,caps,sntmt,nohs
20001,easyfeet querer duplicar número mujer piloto ver aparcar avión,1,0,0,0.0,0.5074886398788071,0.0
20002,gobierno deber crear control estricto inmigración zona fronterizo colombia q después numnumquerer venir masa,1,0,0,0.0,0.5383367193518308,0.0
20013,user llorar lomerecser zorra,1,1,1,0.0,0.5375831817325454,0.25
20017,user user callatir gallina puta cántala cmo quiera bolso culo facil jajajajo hijo,1,1,1,0.0,0.8620257110810199,0.25
20026,user user tener puta ideal melodia ser novia ser sevillista puta mas,1,1,1,0.0,0.4987595254791613,0.25
20032,user ser demasiado perra carallorandoderisa,1,1,1,0.0,0.5220071269521639,0.25
20038,user punterio perico ser alma gemelo excepto ser puta vientre,1,1,1,0.0,0.4988421108471768,0.25
20040,user ser verdadero cagada puto mierdar mierda puto sargento sudada miserable aborrecer escoria mico sorete mal parido,1,0,1,0.0,0.4985461145396698,0.25
20042,user user user asi decir mami callatir perra,1,1,1,0.0,0.5010643415666282,0.25
20044,dos amigo hablar raúl q dar mujer tratar hecho,1,1,0,0.0,0.4986237311901414,0.0
20045,user callatir perra re despertar,1,1,1,0.0,0.6543081680607069,0.25
20052,listado deber segundo árabe chino tener jodido venir país mano delante atrás conseguir préstamo gigantesco negocio maltratar venezolano acá margarita ver vaina,1,0,1,0.0,0.49854581373404,0.0
20053,querido ser puta llenadero decir hijo nuevo amor seguir ser ejemplo cararevolviéndosedelarisa cararevolviéndosedelarisa,1,1,1,0.0,0.4985581056712383,0.25
20056,user ser perra mas perra perra,1,1,1,0.0,0.5116013451413292,0.25
20059,user callatir pinche puta celebrar navidad hija perra,1,1,1,0.0,0.5855537074305833,0.5
20060,ver quién pagar factura cómo repartir marrón dejar inmigrante ilegal suelto ciudad votante hacer pagar dentro año,1,0,0,0.0,0.4985457879925533,0.0
20062,user ahora haber faltar respeto poder decir fin fregar puta,1,1,1,0.0,0.4985684241146661,0.25
20069,user ser puta sentenciado concha congreso mentiste cv justo terminar primario hagas santo hipocrita cuarto,1,1,1,0.0,0.4988382460670466,0.25
20073,jajajajajajjajajajajajajjaa ay dios mujer ser maldad ir aqui putar papera,1,0,1,0.0,0.5015850407923427,0.25
20074,user cállatir puta aprender hablar blanqueastar hocico exatlonmx,1,1,1,0.0,0.5771134717898618,0.25
20076,calmado amontonen pinches taco frijolero pensar culo dedocorazónhaciaarribatonodepielmedio carasinexpresión,1,0,1,0.0,0.5138676262107637,0.25
20080,moronegrada hundir país base d ser cobrador neto d pensión terrorista robar violar traficar petar sistema penitenciario educativo judicial sanitario q importar ser num negro q decir ser ingeniero nostomanporimbéciles,1,0,1,0.0,0.4989582730097033,0.25
20081,estatua libertad ser mujer necesitar cabeza hueco hacer mirador,1,0,0,0.0,0.4985866280159054,0.0
20082,comermelar xd cara cararevolviéndosedelarisa cararevolviéndosedelarisa pasar ojo,1,1,1,0.0178571428571428,0.5052893751347384,0.0
20083,user user cállatar perra mierda culón,1,1,1,0.0,0.7298554298664639,0.25
20085,user jajajajo vos cállate puta,1,1,1,0.0,0.7482159636670822,0.25
20087,incompatible ser moromierdo musulmono,1,0,1,0.0,0.5618661424279379,0.25
20097,user callatir perra locar meterte louis ser meter bandera,1,1,1,0.25,0.5622522996496262,0.25
20099,inventar alcohol feo gorda cani perder virginidad,1,0,0,0.0,0.4988001568208668,0.0
20100,haber mujers inteligente si ser hombre haber operar cambio sexo revés,1,0,0,0.0,0.4985533938502161,0.0
20102,latino decir sudaca conquistado incivilizado cosa ojo,1,0,1,0.0,0.498547583568933,0.25
20104,inmigrante mostrar cara violento pelea pleno calle pueblo cesta,1,0,0,0.0,0.5347758822015388,0.0
20106,user ser amiga perra ir mamar espaldas estupido,1,1,1,0.0,0.4985630359116622,0.25
20108,haber ganar pulso haber ser comedir musulmán pensar próximo vez dar mayor,1,0,1,0.0,0.5008863551757106,0.0
20112,user jajajajaja multitasking ser hoy perra instagram emo twitter ridículo facebook diva whatsapp mismo vez mezclar historia,1,0,1,0.0178571428571428,0.500480640168922,0.25
20116,user lastimar callatir zorra caraenfadada caraenfadada cacaconojos cacaconojo,1,1,1,0.0,0.7482159636670822,0.5
20118,antonio adán novia ser semillita ser puta mas sevilla num real vía user,1,1,1,0.0,0.9456868534266768,0.25
20119,user siempre hacer aguante callatir si perra,1,1,1,0.0,0.6627314058834998,0.25
20121,buen dia trabajar fabrica pagar refugiado dema gracias sánchez ser hijo puta,1,0,1,0.0,0.4992293171338028,0.25
20125,mujer bésame vez pertenecer siempre hombre ostiar gracias advertencia,1,0,0,0.0,0.5000548692322396,0.0
20126,user user ay cállatar perra,1,1,1,0.0,0.7482159636670822,0.25
20129,demostrar ser refugiado país guerra sino económico q ser humano q dar cuenta q si empezar mentira seguramente q buscar ser invadir convivir,1,0,1,0.0,0.498551059705358,0.0
20131,llevar num caso aislado violencia inmigrante zona barcelona semana partir cuanto caso dejar considerar aislado,1,0,1,0.0,0.8595473910318547,0.0
20133,user callatir perra hacer querer,1,1,1,0.0,0.5208795621333974,0.25
20135,user user tener razón inmigrante venir imponernos costumbre,1,0,0,0.0,0.5071659652430894,0.0
20137,user ser perra culpar,1,1,1,0.0,0.5031784512700088,0.25
20140,user jajaja cállate perra decir cosa x,1,1,1,0.0178571428571428,0.4985670602106624,0.25
20144,policía británico permitir violación numnum niña pobre parte árabe via user,1,0,1,0.0,0.8620043497279362,0.0
20146,user ser basura persona sorprender ser sudaco asi ser tercermundista,1,1,1,0.0178571428571428,0.498546134997236,0.0
20147,callatir zorra decir damián jajajajo,1,1,1,0.0,0.5043480286978564,0.25
20149,teñido orto decir cara artesanía prehispánico seguis ser sudaco amigo poder irte alemania natal,1,1,1,0.0,0.498561049907559,0.0
20152,aquí ser oficina atención racismo claro pásele pinche indio prieto zarrapastroso ahorita atender primero pasar güero,1,0,0,0.0,0.4985832012013436,0.5
20154,user callatir mañana ver perra,1,1,1,0.125,0.5852296502010452,0.25
20164,callatir puta ver hacer mes ahora ir querés ver caes mal angustiar,1,1,1,0.0714285714285714,0.4985464157552841,0.25
20166,poder explicar bautismo caribeño subsahariana haber correlación extreme heat liked with reducir cognitivo performance among young adults in nonairconditioned buildings,1,0,0,0.0,0.6447081032515751,0.0
20168,mujer ver pelicula porno entero creer final ir casar,1,0,0,0.0,0.4985479175770225,0.0
20173,user confundar mujer posar victima acoso solo mirada ridículo haber comparar sufrir guerrillera faro ejemplo,1,0,0,0.0,0.4985476755550904,0.0
20176,user cállatir puta katy perri venir nunca mejor dicho,1,1,1,0.0,0.516419164576214,0.25
20178,user jajajajajo callatir mico zorra,1,1,1,0.0178571428571428,0.7482159636670822,0.25
20181,user evolucionado culturalmente recordais cualquiera ser norma cívico español negro árabe excepción haber ver español poner pie asiento negro árabe bastante,1,0,1,0.0,0.498546491889685,0.0
20183,user user deseoso ayudar moromierdas llegar oleada violar mujer niño poder oir si legalizar mejor eh user user problema ser nunca pasar hijo nieto lastimar,1,0,1,0.25,0.4985458414322465,0.75
20186,odiamir ero mirar espejo recordar ser agil atractivo ser puta cerda cararadianteconojossonrientes cararadianteconojossonrient,1,1,1,0.3214285714285714,0.5030883466637062,0.25
20195,habler paliza turista americano cantero subsahariana entrar echar cal vivo guardia civil mejor volver franco ser malo evitar checo gulag si llegar levantar anárquico españa lnumnveranofranco,1,0,1,0.0,0.498567707630853,0.0
20196,user callatir vos rollo tener che puto,1,1,1,0.0,0.5105831477794212,0.25
20199,país haber hacer puñetera vez ser ilegal papel ser deportar país vez valer buenisimo ayuda inmigrante propio español,1,0,1,0.0,0.4985459306198331,0.0
20200,llegar masa cartagena gobernante depender dar verdadero solución natural camposdeautogestión refugiado dar paso invasión toda regla calle confrontación social extremista,1,0,1,0.0,0.4986097462304627,0.0
20202,zorra quedar callado saber combo ser puro power fuego,1,1,1,0.0,0.4988776117846092,0.25
20204,user cállatar clavar visto sos vos zorra corazónroto,1,1,1,0.0,0.5039300289586445,0.25
20206,ser subsahariano ser negro sepa sudán níger sahara fronterassegura,1,0,0,0.0,0.5054012565109526,0.0
20211,user user cállatir zorra prisa,1,1,1,0.0,0.7482159636670822,0.25
20214,transparencia venezuelo indocumentado pasar repostero chocador autobús metro manejar política económico país huir chávez haber destruir tener resultado vela completamente destruido,1,1,1,0.0,0.8707841523633288,0.0
20215,ultra pendeja ciudadano común teatro bajo pelotudo espóselo num hora calabozo vago indocumentado,1,1,1,0.0,0.5053404639788668,0.25
20219,reino unido cero cristiano num num sirio refugiado reubicado ser pai ir año num solo reubicar num claro predisposición favor supremacista fundamentalista islámico absurdo suicida,1,0,1,0.0,0.4985510725080639,0.0
20220,bueno ser puta arrastrado lady gómez cargar guanina tachar divisionista vía user,1,1,1,0.125,0.6130065454033683,0.25
20223,tener nico novia ser perra,1,1,1,0.0,0.5087240915381969,0.25
20224,flipar decir chico padre pegar insultar madre tener dos denuncia violencia género órden alejamiento poner decir jamás pensar mujer tener razón si pasar ser ser árabe,1,0,0,0.0178571428571428,0.498545787962114,0.0
20227,poder decir canción perrar amiga ser perra lánzame carallorandoderisa,1,1,1,0.0,0.4985477635374213,0.25
20228,user tener maña zorra,1,1,1,0.0,0.5196542389783508,0.25
20229,user dejar provocar maldito perra,1,1,1,0.0,0.5809236896517226,0.25
20231,preguntar izquierda ser nota si abrir frontera indiscriminadamente control inmigrante agredir mujer inmigrante relación sentimental cómo localizar citar juicio después agresión,1,0,0,0.0,0.4985462328691452,0.0
20233,curar calle mujer inteligente tortuga viejo tortuga viejo mujer inteligente existir,1,0,0,0.0,0.4992919881486135,0.0
20235,user cómo follar perra olvida nombre num bebé gustar inglés podríar enseñarme,1,0,1,0.1964285714285714,0.498825208752517,0.25
20240,mierda mierda solo mierda venir áfrica único sitio recoger basura musulmán africano,1,0,1,0.0,0.4985769156179383,0.0
20242,cállatir puta zorra borracha drogadicto,1,1,1,0.0,0.7482159636670822,0.5
20244,user flaco venir decir si novia ser zorra problema miir,1,0,1,0.0,0.4986139103249689,0.25
20245,user user user user callatir puta,1,1,1,0.0,0.7482159636670822,0.25
20249,user caragritandodemiedo noir callatir perra buscar poder dormir jaja,1,1,1,0.0,0.5034150342002534,0.25
20250,refugiado aquarius obligar violar menor animal mes final racista esclavista ser africano haber solucionar problema situ si mafia ganar vía ser,1,0,1,0.0,0.4985461950726443,0.0
20251,haber racismo creer ser hermana ser güera user user,1,0,0,0.0,0.498736782690295,0.0
20252,si sós busca ser provocar conseguir ser zorra,1,1,1,0.0,0.5242067133817355,0.25
20256,user user user user cállatar perra mal parida juan kim habl caraenfadada caracabreada caracabreado,1,1,1,0.0,0.5037015993353952,0.25
20258,primero hacer sanchez dar mas cobertura mas medida inmigración ilegal enseñanza árabe bajado tiempopar nacionalizar mirar lado cada dia mas agresivo cantero etc,1,1,0,0.0,0.4985473051917374,0.0
20259,asaltar valla cesta lanzallama cal vivo ser victima,1,0,0,0.0,0.6400829132915196,0.0
20269,mina bastante puto onda novia ser personahaciendoelgestodedeacuerdo personahaciendoelgestodedeacuerdo,1,1,1,0.0,0.4997892291306345,0.25
20271,hola ser traedruffles novia ser puta acabar pasar tekken casero reírmar gracia favor,1,1,1,0.0,0.4985535371505923,0.25
20272,desbloquee dale zorrita saber cagar palo puta mereceír cagada palo tener escuchar calle,1,1,1,0.0,0.4989046004526217,0.25
20275,tells my grandma and daniel are fighting ayy pobrecito hijo ser perra desgraciado,1,1,1,0.0,0.515241189589636,0.25
20276,user merecer x bailar ayer pedazo fe puto,1,1,1,0.0,0.5000315238210105,0.25
20277,user poder papel ser santana requerir ser perra nacimiento ser demasiado quinn abrir ser decir mosquita muerto caralanzandounbeso,1,1,1,0.0357142857142857,0.4985485705304434,0.25
20281,refugiado si inmigrante necesario realmente poder atender pensar españar sólo deber acoger forma ordenado inmigrante latinoamericano habla español cristiano,1,0,0,0.1964285714285714,0.498635266137511,0.0
20282,user callatir ver perfecto perra,1,1,1,0.0,0.7548399589889647,0.25
20285,user abusar ser zorra merecer morir,1,1,1,0.0,0.5715139468426866,0.25
20290,campo refugiado españa banderaespaña q gobierno tener santo cojones poner fin despropósito campoderefugiado españa,1,0,1,0.0178571428571428,0.7850768576648521,0.0
20292,pueblo tener dicho libredeterminación altura tener aguantar chileno indocumentado venir venir pretender negar legítimo dicho libredeterminación ser acabose colonialismo proximidad tb acabar,1,1,1,0.0714285714285714,0.4988516861345577,0.0
20295,user señor presidente robar tapón auto afuera suburbano lechería llegar num num pm haber zombi indocumentado labio prominente haber ver robar autopart patrulla hacer hoy tocar,1,1,0,0.0,0.4985457887506186,0.0
20300,odiame mirar espejo recordar ser agil atractivo ser puta cerdo ser tener tonteria tener maldad algun sitio cuerpo tener acumular,1,1,1,0.0,0.4985460884186437,0.25
20301,añonuevoencombate zorra callateedd caracabreada caracabreada caraenfadadaconcuernos caraenfadadaconcuernos carasacandolalengua carasacandolalengua gatosonriendo gatosonriendo,1,1,1,0.0,0.7482159636670822,0.25
20304,user pelotudar deberio juzgartar x abandonar persona hija puta mereces tener hijo ojala seguir ser gordo pedorra,1,1,1,0.0,0.5037647329963734,0.25
20310,dejar tuitear hija puta escuchar argumento luego ir quedar callado fujimierdo carajo,1,1,1,0.3392857142857142,0.501055574750061,0.25
20312,user user user user ser esposa ver cocina zorro tv,1,1,1,0.0,0.499457907259835,0.0
20313,poner vestido escote mama dizque preciso hoy dar vestir zorra jajajajar lindo siempre,1,1,1,0.0,0.4988590457354311,0.25
20314,marcha negro acelerar paso numnum subsaharián esperar marrueco entrar ilegalmente españa okupa monclovita ¿ya tener pensado cobijar gente prepara barraca moncloa creer haber terreno,1,0,0,0.0,0.4986358357667279,0.0
20316,ajsjsjdks mamá venir enseñar delineador perra perra perrar amiga enojó wtf gabrielar ser buen plan,1,1,1,0.0178571428571428,0.4987792115659527,0.25
20317,solo puto chairs ignorante sudaca resentido poder idolatrar personaje deleznable vez imperio yanki kierir petroleo venezuela,1,0,1,0.0,0.5126680344180816,0.5
20322,amar pinche güero mierda,1,1,1,0.0,0.6522299306909258,0.0
20324,mami poner emisora canción árabe sentir cualquiera momento ir explotar bomba,1,0,1,0.0,0.5012272366487456,0.0
20326,haber comprar collar esposa coño pues todavía tener suelta,1,0,0,0.0,0.4999006296352452,0.0
20331,acordais decian lacito preferir inmigrante subsaharián español pues ala desear concedido teneis barcelona plagado cantero,1,0,1,0.0,0.4989898333905013,0.0
20333,user cállatar perra ver calentar hacer frío pd extraño,1,1,1,0.0178571428571428,0.504592203672447,0.25
20334,ser onu union europeo vaticano comunista socialista progr nwo llevar africa europa dorsodemanoconíndicehaciaabajo dorsodemanoconíndicehaciaabajo inmigrante nigeriano mata descuartizar joven italiano num año,1,1,0,0.1428571428571428,0.4992083635978568,0.0
20335,l informateenholachile responsable ingreso pais inmigrante deber hacer cargo problema salud actualmente haber venir aumentar grave problema atención medico chileno ocupar hora atención recurso,1,0,0,0.7321428571428571,0.4985491350614001,0.0
20342,cuanto operario hacer falta limpiar cocina ninguno ser cosa mujer cállateyfriego,1,0,0,0.0,0.4985576738300187,0.0
20343,user ute tranquilo amiga oio si querés joda vida quedar callado perra hijueputa pásame abono condesita ser cosquilla nenir,1,1,1,0.0,0.49856413893892,0.5
20345,españaesuna estoque stoplgtb inmigrante hostal pensión completo español dormir coche,1,0,0,0.0357142857142857,0.5575561671094424,0.0
20347,user user user cállatar perra,1,1,1,0.0,0.7482159636670822,0.25
20348,user si decir maldita haber decir si amor real perra ser nulo así prestarar tarjeta comprar personalidad,1,1,0,0.0,0.4985457919154565,0.25
20349,user ser malaria celulitis puta barato,1,1,1,0.0,0.6207997696626522,0.25
20350,user user user ser puta tener marido seguro,1,1,0,0.0,0.5527897340796032,0.25
20354,user callatir puto chorra asesinar traidora patria,1,1,1,0.1428571428571428,0.7361124570458563,0.25
20356,user cállate respóndemir perra,1,1,1,0.0,0.7482159636670822,0.25
20358,haber suficiente médico español aqui españa tener venir sudaca aquí trabajar mandar cojón,1,0,1,0.0,0.4988899515431845,0.25
20359,user user tas trabajar perra callatir,1,1,1,0.0,0.5078458516685272,0.25
20364,ser perra decir joss stone,1,1,1,0.0,0.5086410215606804,0.25
20365,ser perra,1,1,1,0.0,0.5395734860254892,0.25
20367,puto moro venir quitar trabajo español ahora dar ser inmigrante ver si encontrar trabajo si encontrar explotar alguno soplapolla si español,1,0,1,0.0357142857142857,0.4985458262924684,0.5
20368,user u callatir cono perra yán,1,1,1,0.0,0.6084716368070715,0.25
20375,user ir pegar pene cara cabrona,1,1,1,0.0,0.5033293806185251,0.0
20378,harassand pepe querido mereceír maltrato puta,1,1,1,0.0,0.5030929743013798,0.25
20379,saber ir pasar ver claro pagar pato abajo sardina lata seguridad social ayuda beca colapsado cantero competencia desleal tener sitio recoger basura,1,0,1,0.0,0.498545796699697,0.25
20381,ilegal subsaharián ber cubata dinero acabar convencer,1,0,0,0.0,0.4985489357374659,0.0
20382,queja hombre mujer ser universal mismo tipo mujer ser notable tildar puta resentido,1,1,1,0.0,0.498588170196544,0.25
20384,falta aparecer puta publicar feliz día rey subir foto enseñar culo,1,1,1,0.0,0.5102835390047736,0.25
20386,mujer tener cuatro labio dos arriba decir tonteria dos abajo arreglar,1,0,0,0.0,0.4985514248842102,0.0
20388,user cállatir puta ir venir conocimiento pedagogía,1,1,1,0.1964285714285714,0.5056392220720005,0.25
20390,italio mujer evitar gas pimiento intento agresión sexual inmigrante ilegal nigeriano estación tren milán ser realidad inmigración ilegal,1,0,0,0.0,0.999986545376672,0.0
20391,user user perra estupido ahora ser gordo,1,1,1,0.0,0.5127228906271734,0.25
20392,ascir ver user trapo estadio vacío equipo lleno sudaca petardo,1,0,1,0.2857142857142857,0.5737552263977679,0.25
20393,ir mujer tonto valer redundancia,1,0,0,0.0,0.5427768338417741,0.0
20394,mediterráneo digital andar obsesionado violación ficticio denunciar c militar violar cría num año quedar patrioto gay marroquí ser gay negro sudaca moro,1,0,0,0.0178571428571428,0.505836336690321,0.5
20395,huir ninguno guerra huir guerra volver país vacación ayuda español ser nuevo casi totalidad mujer sirio llevar velo siriar ser país cristiano,1,0,0,0.0178571428571428,0.4985457886959814,0.0
20396,user user cállatir puta,1,1,1,0.0,0.7482159636670822,0.25
20397,user cállatir nadie preguntar perra,1,1,1,0.0892857142857142,0.5097102048337809,0.25
20398,unico diferencia ser si importar cosa ser puta,1,1,1,0.0178571428571428,0.4986188865919888,0.25
20407,user user user ser comepollas groupie dellafuente callatir puta boca simio,1,1,1,0.0,0.5003635131031509,0.25
20413,descuido güero detrás,1,0,0,0.0,0.5226989553324212,0.0
20416,español tener dinero trabajo dormir bajo puente cajero gilipollos perdido pasar primero ayudar allá indigent dar mismo oportunidad inmigrante haber español apuro ayudar inmigrante,1,0,1,0.0,0.4985457879630293,0.0
20418,user seguir maldito chapista hija puta sal tl perra asqueroso ser culpable desgracia venezuela mil vez maldito generación,1,1,1,0.0178571428571428,0.498546088731534,0.5
20421,pinche voz mustia hacer emputar aún cállatir puta,1,1,1,0.0,0.5062081613177907,0.25
20422,verdad ser así puta enamorir,1,1,1,0.0892857142857142,0.4985519257204537,0.25
20426,user cállatir puta etiqueta dejar mortal ver jugar número,1,1,1,0.0,0.5041231273055233,0.25
20428,parecer mujer polilla comer telar comer entujeta,1,0,0,0.0,0.4986129936819132,0.0
20432,mamar caso hombre ser enculado mujer ser bien perra ser ver lado moneda carapensativa,1,1,1,0.0,0.5001538392238711,0.25
20438,gringo decir gustar vestido papá decir pinche güero puto jajajajajajjajajaa,1,1,1,0.0178571428571428,0.4985457879977857,0.5
20440,esque zorra callatir opín pli,1,1,1,0.0,0.6084716368070715,0.25
20442,user user callatir puta hip coño madre maldito enchufada soplar don perra oportunista amarillista mierda maldito aquí morir sentir persona diario hip pues claro q nesesitamos intervención rata mierda,1,1,1,0.0,0.4985481190665775,0.5
20443,ser perra ladrarmar jajajajajajajajajaajjajaja,1,1,1,0.0178571428571428,0.6299538847548147,0.25
20444,si ser árabe chaval si ver padre degollar animal to dia,1,0,1,0.0,0.5091658243344821,0.0
20445,joder calle perra,1,1,1,0.0892857142857142,0.6892205334402792,0.25
20448,generalizado idea puta enseñar cuerpo red social putar ser ofrecer sexo cambio dinero enseñar cuerpo dar gana llamar mujer libre seguro si mismo,1,0,1,0.125,0.4985458124331127,0.25
